"filename","name_orig","name_new"
newz089.rwl,MOE020A,auYR
newz089.rwl,MOE020B,auYS
newz089.rwl,MOE020C,auYT
newz089.rwl,MOE020D,auYU
newz089.rwl,MOE020M,auYV
newz089.rwl,MOE020N,auYW
newz089.rwl,MOE021A,auYX
newz089.rwl,MOE021B,auYY
newz089.rwl,MOE021C,auYZ
newz089.rwl,MOE021D,auZA
newz089.rwl,MOE027A,auZB
newz089.rwl,MOE027B,auZC
newz089.rwl,MOE029A,auZD
newz089.rwl,MOE029B,auZE
newz089.rwl,MOE029C,auZF
newz089.rwl,MOE029D,auZG
newz089.rwl,MOE034A,auZH
newz089.rwl,MOE034B,auZI
zimb003.rwl,SIK01A,afA
zimb003.rwl,SIK01B,afB
zimb003.rwl,SIK02A,afC
zimb003.rwl,SIK03A,afD
zimb003.rwl,SIK03B,afE
zimb003.rwl,SIK04A,afF
zimb003.rwl,SIK05A,afG
zimb003.rwl,SIK05B,afH
zimb003.rwl,SIK06A,afI
zimb003.rwl,SIK06B,afJ
zimb003.rwl,SIK08A,afK
zimb003.rwl,SIK08B,afL
zimb003.rwl,SIK10A,afM
zimb003.rwl,SIK10B,afN
zimb003.rwl,SIK11A,afO
zimb003.rwl,SIK11B,afP
zimb003.rwl,SIK12A,afQ
zimb003.rwl,SIK12B,afR
zimb003.rwl,SIK13A,afS
zimb003.rwl,SIK13B,afT
zimb003.rwl,SIK14A,afU
zimb002.rwl,MZO02A,afV
zimb002.rwl,MZO02B,afW
zimb002.rwl,MZO06A,afX
zimb002.rwl,MZO06B,afY
zimb002.rwl,MZO08A,afZ
zimb002.rwl,MZO08B,afAA
zimb002.rwl,MZO09A,afAB
zimb002.rwl,MZO09B,afAC
zimb002.rwl,MZO10A,afAD
zimb002.rwl,MZO16A,afAE
zimb002.rwl,MZO16B,afAF
zimb002.rwl,MZO17A,afAG
zimb002.rwl,MZO18A,afAH
zimb002.rwl,MZO18B,afAI
zimb002.rwl,MZO19A,afAJ
zimb002.rwl,MZO20A,afAK
zimb002.rwl,MZO21A,afAL
zimb002.rwl,MZO22A,afAM
zimb002.rwl,MZO22B,afAN
zimb002.rwl,MZO23A,afAO
zimb002.rwl,MZO25A,afAP
